"plant_spp","date_collected","site","date_planted","ung_spp","scat_id","last_count","date_lastcount","native_exotic","vegsite_match","x","prop_scat"
"Carica papaya","2/18/2010","Ritd gate","2/18/2010","pig","pig25",1,"4/10/2010","exotic","ritd gate",17,0.303571428571429
"Carica papaya","1/28/2010","Ritd gate","1/28/2010","pig","pig16",170,"4/10/2010","exotic","ritd gate",17,0.303571428571429
"Carica papaya","6/4/2010","Ritd pig highway","6/4/2010","pig","SS8",2,"11/1/2010","exotic","ritd gate",17,0.303571428571429
"Carica papaya","2/18/2010","Ritd gate","2/18/2010","pig","pig26",19,"4/10/2010","exotic","ritd gate",17,0.303571428571429
"Carica papaya","6/2/2010","Anao grid","6/2/2010","pig","SS2",1,"11/1/2010","exotic","anao n",17,0.303571428571429
"Carica papaya","1/26/2010","Ritidian south of grid","1/26/2010","deer","C4",1,"3/10/2010","exotic","ritd grid",17,0.303571428571429
"Carica papaya","2/18/2010","Ritd gate","2/18/2010","pig","pig23",10,"4/10/2010","exotic","ritd gate",17,0.303571428571429
"Carica papaya","6/4/2010","Ritd pig highway","6/4/2010","pig","SS6",26,"11/1/2010","exotic","ritd gate",17,0.303571428571429
"Carica papaya","2/18/2010","Ritd gate","2/18/2010","pig","pig24",1,"4/10/2010","exotic","ritd gate",17,0.303571428571429
"Carica papaya","3/31/2011","Anao grid","4/5/2011","pig","SS19",1,"6/12/2011","exotic","anao n",17,0.303571428571429
"Carica papaya","1/28/2010","Ritd gate","1/28/2010","pig","pig17",1,"4/10/2010","exotic","ritd gate",17,0.303571428571429
"Carica papaya","6/2/2010","Anao grid","6/2/2010","pig","SS4",1,"11/1/2010","exotic","anao n",17,0.303571428571429
"Carica papaya","1/28/2010","Ritd gate","1/28/2010","pig","pig15",14,"4/10/2010","exotic","ritd gate",17,0.303571428571429
"Carica papaya","2/18/2010","Ritd swbks","1/26/2010","pig","pig5",2,"4/10/2010","exotic","switchbacks",17,0.303571428571429
"Carica papaya","3/31/2011","Anao grid","4/5/2011","pig","SS20",1,"6/12/2011","exotic","anao n",17,0.303571428571429
"Carica papaya","2/18/2010","Ritd swbks","1/26/2010","pig","pig4",2,"4/10/2010","exotic","switchbacks",17,0.303571428571429
"Carica papaya","2/18/2010","Ritd gate","2/18/2010","pig","pig27",14,"4/10/2010","exotic","ritd gate",17,0.303571428571429
"Chromolaena odorata","1/6/2011","Anao grid","1/7/2011","pig","SS16",1,"6/12/2011","exotic","anao n",1,0.0178571428571429
"Coccinia grandis","1/7/2011","S. Blas trail","1/11/2011","pig","SS17",1,"6/12/2011","exotic","sblas",3,0.0535714285714286
"Coccinia grandis","6/2/2010","Anao grid","6/2/2010","pig","SS1",1,"11/1/2010","exotic","anao n",3,0.0535714285714286
"Coccinia grandis","6/2/2010","Anao grid","6/2/2010","pig","SS2",1,"11/1/2010","exotic","anao n",3,0.0535714285714286
"Ficus prolixa","6/2/2010","Anao grid","6/2/2010","pig","SS3",116,"11/1/2010","native","anao n",3,0.0535714285714286
"Ficus prolixa","6/4/2010","Ritd back road","6/4/2010","pig","SS5",2,"11/1/2010","native","ritd grid",3,0.0535714285714286
"Ficus prolixa","6/2/2010","Anao grid","6/2/2010","pig","SS1",129,"11/1/2010","native","anao n",3,0.0535714285714286
"Leucaena leucocephala","1/28/2010","Ritd gate","1/28/2010","pig","pig14",1,"4/10/2010","exotic","ritd gate",1,0.0178571428571429
"Mikania micrantha","12/4/2009","S. Blas","12/22/2009","deer","C3",1,"3/14/2010","exotic","sblas",1,0.0178571428571429
"Morinda citrifolia","2/18/2010","Ritd gate","2/18/2010","pig","pig25",30,"4/10/2010","native","ritd gate",20,0.357142857142857
"Morinda citrifolia","1/28/2010","Ritd gate","1/28/2010","pig","pig15",34,"4/10/2010","native","ritd gate",20,0.357142857142857
"Morinda citrifolia","2/18/2010","Ritd gate","2/18/2010","pig","pig23",27,"4/10/2010","native","ritd gate",20,0.357142857142857
"Morinda citrifolia","6/4/2010","Ritd pig highway","6/4/2010","pig","SS6",66,"11/1/2010","native","ritd gate",20,0.357142857142857
"Morinda citrifolia","1/28/2010","Ritd gate","1/28/2010","pig","pig17",1,"4/10/2010","native","ritd gate",20,0.357142857142857
"Morinda citrifolia","2/18/2010","Ritd gate","2/18/2010","pig","pig26",14,"4/10/2010","native","ritd gate",20,0.357142857142857
"Morinda citrifolia","6/2/2010","Anao grid","6/2/2010","pig","SS1",36,"11/1/2010","native","anao n",20,0.357142857142857
"Morinda citrifolia","1/28/2010","Ritd gate","1/28/2010","pig","pig16",111,"4/10/2010","native","ritd gate",20,0.357142857142857
"Morinda citrifolia","1/7/2011","S. Blas trail","1/11/2011","pig","SS17",11,"6/12/2011","native","sblas",20,0.357142857142857
"Morinda citrifolia","2/18/2010","Ritd gate","2/18/2010","pig","pig27",22,"4/10/2010","native","ritd gate",20,0.357142857142857
"Morinda citrifolia","6/2/2010","Anao grid","6/2/2010","pig","SS2",16,"11/1/2010","native","anao n",20,0.357142857142857
"Morinda citrifolia","2/18/2010","Ritd swbks","1/26/2010","pig","pig4",64,"4/10/2010","native","switchbacks",20,0.357142857142857
"Morinda citrifolia","6/2/2010","Anao grid","6/2/2010","pig","SS4",143,"11/1/2010","native","anao n",20,0.357142857142857
"Morinda citrifolia","10/28/2010","Ritd gate","11/5/2010","pig","SS12",23,"6/12/2011","native","ritd gate",20,0.357142857142857
"Morinda citrifolia","2/18/2010","Ritd gate","2/18/2010","pig","pig24",11,"4/10/2010","native","ritd gate",20,0.357142857142857
"Morinda citrifolia","6/4/2010","Ritd back road","6/4/2010","pig","SS5",9,"11/1/2010","native","ritd grid",20,0.357142857142857
"Morinda citrifolia","6/4/2010","Ritd pig highway","6/4/2010","pig","SS8",307,"11/1/2010","native","ritd gate",20,0.357142857142857
"Morinda citrifolia","6/2/2010","Anao grid","6/2/2010","pig","SS3",7,"11/1/2010","native","anao n",20,0.357142857142857
"Morinda citrifolia","6/4/2010","Ritd pig highway","6/4/2010","pig","SS7",184,"11/1/2010","native","ritd gate",20,0.357142857142857
"Morinda citrifolia","2/18/2010","Ritd swbks","1/26/2010","pig","pig5",3,"4/10/2010","native","switchbacks",20,0.357142857142857
"na","12/22/2009","Ritidian switchbacks","12/22/2009","deer","C1",0,"3/14/2010","na","switchbacks",26,0.464285714285714
"na","12/4/2009","S. Blas","12/22/2009","deer","C2",0,"3/14/2010","na","sblas",26,0.464285714285714
"na","2/18/2010","Ritidian behind closed pop","2/18/2010","deer","C14",0,"3/14/2010","na","ritd gate",26,0.464285714285714
"na","6/2/2010","Anao grid","6/2/2010","deer","cm1",0,"9/30/2010","na","anao n",26,0.464285714285714
"na","6/4/2010","Ritd pig highway","6/4/2010","deer","cm2",0,"9/30/2010","na","ritd gate",26,0.464285714285714
"na","6/4/2010","Ritd ochrosia grove","6/4/2010","deer","cm3",0,"9/30/2010","na","switchbacks",26,0.464285714285714
